subject_id	predicate_id	source_language	source_value	translation_language	translation_value	translator	translator_expertise	translation_date	translation_provider	translation_status	comment	synonym_type	status_history	source	source_version	type
DISDRIV:0000000	IAO:0000115	en	Environmental or genetic mechanisms driving the occurrance of complex diseases.	es	Mecanismos ambientales o genéticos que impulsan la aparición de enfermedades complejas.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000001	IAO:0000115	en	A disease driver that is comprised of a shortage of a nutrient.	es	Un factor impulsor de enfermedad que esté relacionado con la escasez de un nutriente.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000002	IAO:0000115	en	A disease driver that is related to or concerning the interaction of social and economic factors.	es	Un factor desencadenante de la enfermedad que esté relacionado con o concierna a la interacción de factores sociales y económicos.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000003	IAO:0000115	en	A disease driver that is of biological origin.	es	Un impulsor de enfermedad que es de origen biológico.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000004	IAO:0000115	en	A nutrient deficiency of vitamin B7 (biotin) foods like eggs, milk, and bananas.	es	Una carencia de nutrientes de vitamina B7 (biotina) alimentos como los huevos, la leche y los plátanos.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000005	IAO:0000115	en	A nutrient deficiency.	es	Una carencia de nutrientes.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000006	IAO:0000115	en	A disease driver that is a chemical.	es	Un impulsor de la enfermedad que es una sustancia química.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition
DISDRIV:0000000	rdfs:label	en	disease driver	es	impulsor de enfermedad	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000001	rdfs:label	en	nutrient deficiency	es	deficiencia de nutrientes	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000002	rdfs:label	en	socioeconomic driver	es	factor socioeconómico	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000003	rdfs:label	en	biological driver	es	impulsor biológico	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000004	rdfs:label	en	deficiency of biotin	es	deficiencia de biotina	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000005	rdfs:label	en	deficiency of choline	es	deficiencia de colina	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
DISDRIV:0000006	rdfs:label	en	chemical driver	es	factor químico	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)	NA	NA	http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label
