subject_id	predicate_id	source_language	source_value	translation_language	translation_value	translator	translator_expertise	translation_date	translation_provider	translation_status	comment	synonym_type	status_history	source	source_version	type	backtranslation	backtranslator	backtranslation_date	triager_id	translation_confidence	confidence_details	reviewer	reviewer_expertise
DISDRIV:0000000	IAO:0000115	en	Environmental or genetic mechanisms driving the occurrance of complex diseases.	es	Mecanismos ambientales o genéticos que impulsan la aparición de enfermedades complejas.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	AUTO_APPROVED	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition	Environmental or genetic mechanisms that drive the emergence of complex diseases.	Google Translate	2026-02-14	d732eb4f84d4089	0.8281000000000001	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: bd590d56d576eb7
  diff: exact
  score: 1.0
- method: backtranslation-comparison
  diff: wordToken[87.5%]:stemmed|stopwords
  score: 0.6562
"	triager	ALGORITHM
DISDRIV:0000000	IAO:0000115	en	Environmental or genetic mechanisms driving the occurrance of complex diseases.	es	Mecanismos ambientales o genéticos que impulsan la aparición de enfermedades complejas.	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										bd590d56d576eb7				
DISDRIV:0000000	rdfs:label	en	disease driver	es	impulsor de enfermedad	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	AUTO_APPROVED	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label	disease driver	Google Translate	2026-02-14	2fac0c17b4dc4a6	0.9	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: cc1770b663513b4
  diff: wordToken[100%]:stopwords
  score: 0.8
- method: backtranslation-comparison
  diff: exact
  score: 1.0
"	triager	ALGORITHM
DISDRIV:0000000	rdfs:label	en	disease driver	es	impulsor de la enfermedad	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										cc1770b663513b4				
DISDRIV:0000001	IAO:0000115	en	A disease driver that is comprised of a shortage of a nutrient.	es	Un factor impulsor de enfermedad que esté relacionado con la escasez de un nutriente.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition	A disease-driving factor that is related to a nutrient deficiency.	Google Translate	2026-02-14	4504f263793d9d4	0.4272	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: 0c603c66b65c52a
  diff: wordToken[46.67%]
  score: 0.3967
- method: backtranslation-comparison
  diff: wordToken[53.85%]
  score: 0.4577
"		
DISDRIV:0000001	IAO:0000115	en	A disease driver that is comprised of a shortage of a nutrient.	es	Una causa de enfermedad que consiste en la deficiencia de un nutriente.	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										0c603c66b65c52a				
DISDRIV:0000001	rdfs:label	en	nutrient deficiency	es	deficiencia de nutrientes	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	AUTO_APPROVED	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label	nutrient deficiency	Google Translate	2026-02-14	233c939caab1501	1	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: 1f78e437ceaa3be
  diff: exact
  score: 1.0
- method: backtranslation-comparison
  diff: exact
  score: 1.0
"	triager	ALGORITHM
DISDRIV:0000001	rdfs:label	en	nutrient deficiency	es	deficiencia de nutrientes	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										1f78e437ceaa3be				
DISDRIV:0000002	IAO:0000115	en	A disease driver that is related to or concerning the interaction of social and economic factors.	es	Un factor desencadenante de la enfermedad que esté relacionado con o concierna a la interacción de factores sociales y económicos.	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	definition	A triggering factor of the disease that is related to or concerns the interaction of social and economic factors.	Google Translate	2026-02-14	7de73c23aad014e	0.6799999999999999	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: df5aedd6a8918e3
  diff: wordToken[90%]:stopwords
  score: 0.72
- method: backtranslation-comparison
  diff: wordToken[80%]:stemmed
  score: 0.64
"		
DISDRIV:0000002	IAO:0000115	en	A disease driver that is related to or concerning the interaction of social and economic factors.	es	Un factor desencadenante de una enfermedad que está relacionado con la interacción de factores sociales y económicos.	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										df5aedd6a8918e3				
DISDRIV:0000002	rdfs:label	en	socioeconomic driver	es	factor socioeconómico	Alexander Largaespada	PROFESSIONAL_TRANSLATOR	2024-05-21	The Spanish Group LLC (https://thespanishgroup.org/)	CANDIDATE	certified by Salvador G. Ordorica (ATA #267262)			http://purl.obolibrary.org/obo/disdriv.owl	http://purl.obolibrary.org/obo/doid/releases/2024-04-30/imports/disdriv_import.owl	label	socioeconomic factor	Google Translate	2026-02-14	9445a3572675789	0.425	"- combine_method: mean
- method: translation-comparison
  vs_triager_id: e0cf0b43a61547f
  diff: wordToken[50%]
  score: 0.425
- method: backtranslation-comparison
  diff: wordToken[50%]
  score: 0.425
"		
DISDRIV:0000002	rdfs:label	en	socioeconomic driver	es	motor socioeconómico	Google Translate	ALGORITHM	2026-02-14		CANDIDATE										e0cf0b43a61547f				
